idmunici|ccdd|ccpp|ccdi|Departamento|Provincia|Distrito|Tipomuni|VFI|P03|P04_1|P04_2|P04_3|P04_4|P04_5|P04_6|P05_CC|P05_1|P05_2|P05_3|P06_CC|P06|P07|P08|P09|P10_1|P10_2|P10_3|P10_4
021308|02|13|08|ANCASH|MARISCAL LUZURIAGA|MUSGA|2|1|0|1|MANUEL PRADO UGARTECHE|1||||043|945822558|||043|945822558|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-MUSGA-GESTI%C3%B3N-2019-2022-115066913467459/|MUNIMUSGA@GMAIL.COM|-|JORGE DEMETRIO|EVANGELISTA|CAPCHA|2
021401|02|14|01|ANCASH|OCROS|OCROS|1|1|3|1|COMERCIO - PLAZA DE ARMAS|272||||043|623598|623597|942616873|043|623597|WWW.FACEBOOK.COM/MPOCROS|GOBIERNOPROVINCIALOCROS@HOTMAIL.COM|WWW.MUNIOCROS.GOB.PE|ERNESTO TONY|SALINAS|CASTILLO|2
021402|02|14|02|ANCASH|OCROS|ACAS|2|1|0|6|PLAZA DE ARMAS|S/N||||043|920091970|969893491|998518341|043||-|MUNICIPALIDAD.ACAS@GMAIL.COM|-|NECTARIO|ESPINOZA|RAMIREZ|2
021403|02|14|03|ANCASH|OCROS|CAJAMARQUILLA|2|1|0|2|28 DE JULIO|10|E|14|20|043|942608007|||043|976237113|-|MUNICIPIOCAJAMARQUILLA@GMAIL.COM|-|MAYER KENNEDY|BAZAN|FABIAN|2
021404|02|14|04|ANCASH|OCROS|CARHUAPAMPA|2|1|0|6|PLAZA DE ARMAS|S/N||||043|975227844|943755105|995357974|043|956582707|-|MDCARHUAPAMPA.OCROS@GMAIL.COM|-|GILBER|CORNELIO|SANTOS|2
021405|02|14|05|ANCASH|OCROS|COCHAS|2|1|0|6|PLAZA DE ARMAS|120||||043|995338825|||043|430856|-|MDCOCHAS_ULE@HOTMAIL.COM|-|ELIZABETH ALODIA SANDY|SAENZ|QUIROZ|1
021406|02|14|06|ANCASH|OCROS|CONGAS|2|1|5|6|PLAZA DE ARMAS|S/N||||043||||043|966156605|WWW.FACEBOOK.COM/CONGASANCASHPERU/|MUNI.CONGAS@GMAIL.COM|-|PORFIRIO ARTURO|GOMERO|OSTOS|2
021407|02|14|07|ANCASH|OCROS|LLIPA|2|1|0|2|15 DE NOVIEMBRE|15||||043||||043|976948902|-||-|MARSOLINE JHENRY|JUSTINO|ROJAS|2
021408|02|14|08|ANCASH|OCROS|SAN CRISTOBAL DE RAJAN|2|1|1|6|PLAZA DE ARMAS|102||||043||||043|938163475|-|RDC.ABOGADOS@HOTMAIL.COM|-|AMANCIO|HIGINIO|VARGAS|2
021409|02|14|09|ANCASH|OCROS|SAN PEDRO|2|1|2|6|PLAZA DE ARMAS|S/N||||043||||043|987015452|-|GOBIERNOLOCALSANPEDRO@GMAIL.COM|-|UZIAS ARON|ARIZA|AGUIRRE|2
021410|02|14|10|ANCASH|OCROS|SANTIAGO DE CHILCAS|2|1|1|6|PLAZA DE ARMAS|S/N||||043||||043|920114834|WWW.FACEBOOK.COM/SANTIAGO DE CHILCAS|SANTIAGODECHILCAS@HOTMAIL.COM|-|JOSE MOISES|OSES|ESPIRITU|2
021501|02|15|01|ANCASH|PALLASCA|CABANA|1|1|0|6|PLAZA DE ARMAS|103||||043||||043|972678609|WWW.FACEBOOK.COM/MUNICABANA|MESADEPARTESVIRTUAL@MUNICABANA.GOB.PE|WWW.MUNICABANA.GOB.PE|MARCIAL CASTILLO|VALERIO|CHAVEZ|2
021502|02|15|02|ANCASH|PALLASCA|BOLOGNESI|2|1|0|2|FRANCISCO BOLOGNESI|S/N||||043||||043|943080689|WWW.FACEBOOK.COM/MUNI.BOLOGNESI.PALLASCA/|MDBOLOGNESI2019@GMAIL.COM|-|ANDRES GERMAN|APARICIO|REYES|2
